,cafe_id,cafe,user_id,message,point,likeCnt,date
0,16322301,현대모비스카페 모비스이도점한보상사,283130,"여기 정말 최악의 불친절과 설치는 엉망!!!!
제주도 자동차관련 업체가 넘치고넘치는데 정말 신고하고플정도에요 별하나도 아까워요 
 
블랙박스 설치중 옆에서 질문 딱 두개햇는데 입이 대빨나와서는 인상찌푸리더니 들어가서 기다리세요라며 질문에 대답은 아예해줄생각도안함 아예 그림자취급하고 무시당함

썬팅부탁하고 한시간후 갓더니 다되엇다길래 아무생각없이 찾아왓다 집에와보니 앞면 썬팅인데 썬팅지 로고가 조수석유리 중앙에 세로로 세 군데나 찍혀잇엇다 
지워주던가 마무리깔끔해주는게 맞다고생각한다 바빠서 못하겟음 이래저래하라고 알려주던가....
적은돈받고 한것도아니고 십만원넘게 지불하고 서비스가 최하엿다
인터넷검색하고 내가 지우고 처리햇어요
",1,1,2018.11.01.
1,1744283951,파피용살롱드떼,796329,정성스럽게 만들어주셔서 감동입니다,5,0,2019.06.12.
2,1744283951,파피용살롱드떼,796328,예상치 못하고 들어왔는데! 진짜 정성 만점!,5,0,2019.06.12.
3,1744283951,파피용살롱드떼,782143,"깔끔하고 세련된 밀크티하우스!
표선에서 이런 곳을 찾을 줄이야...
좌석은 많지 않지만 프라이빗 티하우스 느낌. 
아주 잘 마시고 갑니다.",5,0,2019.06.08.
4,1744283951,파피용살롱드떼,347274,작년 제주 여행에서 우연하게 처음 방문했는데 밀크티가 너무 맛있어서 반했어요. 밀크티도 블렌딩을 하면 이런 다양한 풍미를 느낄 수 있다는 사실에 놀랐습니다 ㅜ.ㅜ 1년이 지나서 또 방문했는데 몇 가지 메뉴가 품절이어서 아쉬웠지만 여전히 맛있었습니다!! ,5,0,2018.12.31.
5,1744283951,파피용살롱드떼,220066,,5,0,2018.08.30.
6,1744283951,파피용살롱드떼,204184,"밀크티 전문점
여유로운 분위기",5,0,2018.08.14.
7,1744283951,파피용살롱드떼,90531,"밀크티가 진하고 맛있어요
재즈음악도 좋구여 ㅎㅎ",5,0,2018.03.22.
8,1744283951,파피용살롱드떼,1740688,"자리가 10명도 못 들어가 아쉬움.바다가 보이지 않는 자리라 아쉬움.그러나 그 외에 차 맛, 인테리어, 음악 다 좋음.재방문 의사 100%♡",5,,2017.03.21.
9,1585655885,카페데바,1176922,커피도 좋고 음식도 쵝오&rsquo;,5,0,2019.10.21.
