,cafe_id,cafe,user_id,message,point,likeCnt,date
0,1624310743,도바나,1287637,"차 맛도, 분위기도, 고양이도 완벽해요.",5,0,2019.11.29.
1,1624310743,도바나,1198503,"뷰 좋고, 음료 맛있고, 쿠키는 바로 구워주고, 고양이 미야옹 소리 들리고, 의자 편해요. 최고의 쉼터",5,0,2019.10.27.
2,1624310743,도바나,1139843,"세상에서 제일 귀엽고 애교많은 고양이가 있어요
뷰도 좋고 커피와 케익도 너무 맛있는곳입니다",5,0,2019.10.07.
3,1624310743,도바나,1112707,비오는날도 운치가 좋아요,5,0,2019.09.27.
4,1624310743,도바나,1070424,바삭하고 촉촉한 쿠키 너무 맛있어요~~내일 아침에 또 먹을 거에요~~~,5,0,2019.09.10.
5,1624310743,도바나,938152,쵝오,5,0,2019.07.26.
6,1624310743,도바나,930473,"분위기 좋구요
커피 맛도

쿠키도 맛나네요

",5,0,2019.07.23.
7,1624310743,도바나,904052,"블룸 가시면 쿠키 무조건 드셔보세요!
진짜 맛나요!!!
사장님도 친절하시고 카페내부도 예쁘답니다",5,0,2019.07.15.
8,1624310743,도바나,887841,"주차 롯데리아 옆에 하시면 되고
말차밀크티어쩌구는 맛이 오묘한데 말차오름은 맛있음
가격도 착하고 카페 분위기도 좋고 창가앉으면 바다보이고
티백도 팔고 젤 중요한 고양이가 있음
심지어 화장실도 이뻐
 의자 방석은 조금 얼룩있긴했지만 넘 이뻐여",5,0,2019.07.09.
9,1624310743,도바나,824606,천장높고 해비치해변 보이고 분위기 여유롭고 차 맛도 좋아요. 차 종류가 진짜 많음!,5,0,2019.06.21.
10,1624310743,도바나,576330,고양이 있어요 ㅠㅠ,5,0,2019.05.24.
11,1624310743,도바나,299036,"커피 맛있었어요
주문하면 바로 구워주는 쿠키랑 아이스크림도 너무 맛있구요
내부도 예쁘고 창밖으로 보이는 풍경도 멋있어요",5,0,2018.11.17.
12,1624310743,도바나,234424,"분위기, 맛, 다 좋아요!̆̈!̆̈",5,0,2018.10.03.
13,1940356147,커피516,394036,"독일식팬케이크와 로스팅커피가 잘어울려요  
좋은원두 구입하구요 추천해주신 수제에이드도 맛있어요  ",5,1,2019.02.08.
14,1940356147,커피516,259289,"조용한 카페 음악도 좋아요
청귤차 추천합니다",5,0,2018.10.09.
15,2002632309,커피스트릿16,805474,"셀프로스팅한 원두로 커피를 마시니 향이 최고네요
사장님이 직접 만든 마카롱쿠키가 커피에는 환상조합! !
",5,1,2019.06.15.
16,2002632309,커피스트릿16,381120,"직접 로스팅한 커피맛이 최고예요
#달달쿠키와 아메리카노  환상궁합입니다      ",5,0,2019.01.28.
17,2002632309,커피스트릿16,2037824,최고!! 수제쿠키 수제브라우니 로스팅커피의 궁합이 환상의 콜라보 ,5,,2019.01.28.
18,2002632309,커피스트릿16,2037800,자두에이드 짱 19년 7월에 출시,5,,2019.01.28.
19,25575534,달달구리,1168829,깔끔하고 이쁜 가게네요.... 주인 아저씨 완전 훈남...,5,,2014.09.11.
20,25575534,달달구리,1164796,수제 티라미스와 커피.... 맛있었어요~. ㅎㅎ,5,,2014.09.03.
21,25575534,달달구리,1151775,"샤게라떼 최고의 평점, 티라미슈 최고의 평점 주~~의리",5,,2014.08.19.
22,966859018,카페52,80818,바람이 많이 불어서 차 마시면서 바다 보려고 갔는데 직원분도 친절하고 자몽에이드도 맛있었어요. 친구랑 가서 조용히 대화 나누기 좋을 것 같아요. ,5,0,2018.03.04.
