Unnamed: 0,cafe_id,cafe,user_id,message,point,likeCnt,date
0,1316013494,바바라코코,1063196,"주변까페 다 문닫아서 찾아찾아 왔는데
사장님 핵친절하시고, 까페 분위기 짱 예쁨!!!
커피도 맛있어용♡ ",5,0.0,2019.09.07.
1,27447046,재게재게옵서카페,1114203,,1,0.0,2019.09.27.
2,27447046,재게재게옵서카페,225408,"주인장이 아주친절해요
비양도가면 한번가보세요",5,0.0,2018.09.05.
3,27447046,재게재게옵서카페,222289,,1,0.0,2018.09.02.
4,27447046,재게재게옵서카페,1784113,친절하고 자세한 설명에 감동받았습니다.,5,,2017.06.12.
5,1365500111,정원이있는마네,1160615,리뷰 달려고 가입까지함- 너무 친절하시고 조그맣고 이쁘게 나오는 간식들이랑 단호박 라떼 팥라떼 수제로 만드시는데 진짜 존맛 꼭 가세요 두번가세요 제발,5,0.0,2019.10.15.
6,812451551,제3공간,933697,"분위기 좋고 인테리어 예쁜곳! 
한번쯤은 방문해보시는것도 좋을것같아요!!",4,0.0,2019.07.25.
7,812451551,제3공간,364546,프릳츠원두 커피 맛있네여 ~ ,5,0.0,2019.01.15.
8,812451551,제3공간,340365,"카페 공간은 너무 예쁘고 사장님도 친절하신데 커피맛은 쪼끔 아쉬웠어요,, ㅠㅠ",4,2.0,2018.12.26.
9,812451551,제3공간,184730,한옥간지,4,0.0,2018.07.27.
10,812451551,제3공간,1973449,도심 속에서 즐기는 나만의 시간~,5,,2018.08.29.
11,1150352609,노마스,1076705,제주여행 갈때 반드시 들러야 하는 곳입니다 ㅠㅠ 가격대가 좀 있는데(둘이 갔는데 인당 2만원 좀 안되게 나왔었어요) 근데!! 너무 너무 너무 맛있었어요...한입 먹는순간 사르르... 또 가고싶어요ㅠㅠ 어떻게 이렇게 조화로운 맛을 내시는지.. 셰프님들 짱짱입니다 :),5,0.0,2019.09.13.
12,1150352609,노마스,1065003,페이스북 페이지에서 보고 추천 받아서 오설록 구경하고 왔는데 대박이에욤 ㅎㅎ!! 진짜 맛있게 잘 먹었구요 직원분들도 너무 친절하시고 매장 내부도 깔끔하고 분위기 좋아요,5,1.0,2019.09.08.
13,1645145228,수지네카페,390418,"서귀포 애견카페&amp;애견펜션 인터네 검색해서 왔는데 
수지 콩이  놀러온 하뚜 진도개?  보고 힐링되네요 강아지없이가도 충분이 좋아요^^  라떼,모카 추천해요^^
 너무 즐거웠어요 
일광욕할수있는 넓은마당과 귤도 많이 먹고 애견펜션 펫도어와 바닥 마루느낌 타일 이라 애들 미끌거리지 않을꺼같아요 다음에는 애들 꼬비랑 오려구요
 
",5,0.0,2019.02.05.
14,1802810168,세탁쏘,1025975,"단호박 케이크가 정말 별로 였어요. 아무 맛도 없었어요. 무맛. 그래도 공간이 편안하고 예뻤고, 커피는 마실만 했어요.",3,0.0,2019.09.19.
15,1802810168,세탁쏘,299226,너무 맛있어요,5,0.0,2018.11.17.
16,1802810168,세탁쏘,8132,"요거 우리동네에 있었음 좋겠어요. 
라떼도 정말 맛있고 당근들어간 어려운 이름의 빵도 넘 맛있었어요. 망고스무디도 맛있고.... 인테리어도 취향저격에 사장님도 친절하시고 다 마음에 들어요. 
주문한 음식 가져다 주실 때 제 딸이 &quot;고맙습니다&quot; 하니까 웃으며 &quot;제가 더 고맙습니다&quot; 하시던 사장님 말씀이 훈훈하고 인상깊었어요",5,0.0,2017.09.25.
17,1802810168,세탁쏘,1266731,집근처에 예쁜카페가 있길래 가봤어요~ 동네분들도 많이가요~ 맛도 괜찮도 분위기도 좋아요~,4,,2019.04.02.
18,1802810168,세탁쏘,990356,,5,,2018.08.10.
19,1802810168,세탁쏘,253501,,5,,2017.05.02.
20,905387561,말깡쥬스,971396,Good :),5,0.0,2019.08.07.
21,905387561,말깡쥬스,963763,,5,0.0,2019.08.04.
22,905387561,말깡쥬스,944804,건강한 당근주스!,4,0.0,2019.07.29.
23,905387561,말깡쥬스,570327,당근주스 건강한맛입니다. 아침에 짜서 병에 담아놓으셨네요. 당근주스 맛있어요.,4,0.0,2019.05.21.
24,1915394502,피플카페,1081399,"저의 반려 아지 아가씨 샤블리양과의 추석 혼영 마지막날이네요~ 피로가 쌓이고 운전 중 졸려서 편한의자에서 쉬며 졸며 그런곳이 필요했죠.
 함덕 해변 델문도 같은곳은 주차도 만차고 사람 득실거리고 가격도 사악하여..조용한곳 찾아 조천 바닷가를 따라 쭉 달리던 중 닭머르 근처 조용한 마을 바닷가에 피플카페를 찾아냈어요..
후기 잘 안쓰는데 착한 가격의 신선한 샌드위치와 편한의자..자연바람으로시원함에 반해 즉석 후기 올립니다.~~
바닷가 뒤뜰이 완전 개방된 창으로 입구쪽 개방창과 맞바람으로 자연바람인데 추울 지경입니다.
밖은 오분만 서있어도 땀뻘뻘인데요..
참 잘찾았다요!!",5,0.0,2019.09.15.
25,1915394502,피플카페,963103,경치굳,5,0.0,2019.08.04.
26,1706278496,원더샌드위치카페,1283491,재료가 듬뿍듬뿍 맛있어요,5,0.0,2019.11.27.
27,1706278496,원더샌드위치카페,1266996,맛있어요 ! 생각보다 크고 양도 많네요 :) ,5,0.0,2019.11.22.
