,cafe_id,cafe,user_id,message,point,likeCnt,date
0,1989308227,모우카파,1238120,최고의 커피,5,0,2019.11.11.
1,1234666141,카페인링거,1290992,문 닫았어요 헛걸음하지마세요,1,0,2019.11.30.
2,1234666141,카페인링거,1025930,인기가 많은 이유는 가게가 예뻐서 인 이유가 큰 것 같아요. 특징이 없는 커피지만 디저트는 괜찮았어요.,3,0,2019.08.25.
3,1234666141,카페인링거,445440,,5,0,2019.03.14.
4,1234666141,카페인링거,257611,맛도 좋고 위치가 너무 좋아요,5,0,2018.10.07.
5,10213366,금빛다화,128866,바로 앞에 알작지라는 제주 관광지가 있습니다. 간단한 식사도 가능하니~ 참고하세요. ,5,,2010.03.31.
6,10213366,금빛다화,122096,찻잔이 이뻐서~ 차가더 맛있게 느껴지는 곳이예요~ ,5,,2010.03.24.
7,10213366,금빛다화,122026,차향이 은은한게 넘 좋구요~~분위기도 굿~!,4,,2010.03.24.
8,11643824,바바부단 신제주점,741967,편하긴하지만 비싸고 여자알바생불친절함;,2,,2013.03.30.
9,11643824,바바부단 신제주점,283538,가격이 조금 비싸긴 하지만 편하게 쉴 수 있는 곳이라 좋아요,5,,2011.09.18.
10,11643824,바바부단 신제주점,276618,진짜 기대안하고 들어간 곳. 아메리카노 밋있음. 팥빙수 맛있음. 가격이 좀 비쌌다. ,4,,2011.08.29.
11,11643824,바바부단 신제주점,123587,분위기가 좋은 커피숍~커피만은 평범해요~~~,4,,2010.03.25.
12,11643824,바바부단 신제주점,117625,날씨 궂은 날 따땃한 방구석에 앉아 수다를 떨거나 잡지를 보면서 커피 마시고 싶을 때 가면 딱인곳..,4,,2010.03.18.
13,11643824,바바부단 신제주점,115289,여긴 원래 케이크를 그냥 주는 곳이라 커피 값이 좀 비싼데 저번엔 케이크를 원하는 사람만 준다는 거예요...근데 여기 커피 온도도 안맞고 맛도 별론데~ 방이라 편하게 앉으려고 가지.. 진짜 별루임 ,3,,2010.03.14.
14,11643824,바바부단 신제주점,113930,커피전문점인가~ ??? 좀 색다른 곳이에요. 방에서 정말 ~ 그냥 이야기하고 먹고 놀고 ~ 재미있는 곳입니다. 하지만~ 비싸다는거~ ㅋ,4,,2010.03.12.
15,11643824,바바부단 신제주점,112565,"방으로 되있는건 좋은데, 전 그렇게 편하지도 않던...커피 맛은 그냥 그래요. 가격은 비싼편이구요~",4,,2010.03.10.
16,11643824,바바부단 신제주점,112117,커피시키면 케익을 주는데..커피값이 비싸서 케익이 아주 공짜스런 느낌은 안나요..^^;,4,,2010.03.09.
17,11643824,바바부단 신제주점,111064,"방처럼 된 카페로는 제주도 처음인것 같아요 ^^. 가격은 다소 비싼편이지만 서비스로 조각케잌이 나와서 비싼편은 아니란 생각이 들구요 ㅎ 잠깐 쉴때, 신제주권에서는 바바부단을 가고 제주시권에서는 플로라카페~",4,,2010.03.05.
18,22512755,섬오름카페앤레스토랑,963450,,5,0,2019.08.04.
19,22512755,섬오름카페앤레스토랑,949622,20190730 제주도 여름휴가,3,0,2019.07.31.
20,22512755,섬오름카페앤레스토랑,830971,"조식만 먹었는데 전복죽과 성게미역국은 굿, 브런치같은 아메리칸 조식은 낫베드. 이것들을 먹으로 맛집 갈 계획이면 굳이 안가셔도 됩니다.",4,0,2019.01.22.
21,22512755,섬오름카페앤레스토랑,64776,,5,0,2018.02.08.
22,22512755,섬오름카페앤레스토랑,50757,"12시부터 3시까지 런치세트 9,900원. 함박스테이크정식 나옵니다. 맛도 좋고 전망도 최고입니다! 착한 가격에 호텔레스토랑맛을 느낄수 있어요.  ",5,0,2018.01.10.
23,22512755,섬오름카페앤레스토랑,1090984,"경치 주차장은 좋습니다
조용한것도 좋고요 
 섬오름 까페 레스토랑에서는 
음료  케잌등 시키고 핸드폰 배터리가  없어서 충전 케이블가지고 충전부탁했지만 충전기가 없다고 불가능하다고하더라고요

첨에는 아이폰케이블만 있어서  안된다고 하더니 충전케이블 (c type)가져가니 충전기가 없다고 안된다고(직원은 충전도 안하나보죠?) 
원래 충전은 서비스니깐 귀찮아서 안해줬겠거니 생각하는데

서비스가 단 두 테이블밖에 손님이 없어 한가한데도 설렁설렁 서빙하고 바뻐서 그런거라면 이해라도 하겠는데 
알바인지 점장인지 모르겠는데 서비스도 별로 친절도 별로입니다

여기사장님은 여긴직원(남자직원)이러고 있는지 아시나 모르겠네요",1,,2018.04.08.
24,22512755,섬오름카페앤레스토랑,1062354,양식은 물론 한식도 맛있어요. 앞 경치가 정말 멋져요~~,5,,2017.01.14.
25,22512755,섬오름카페앤레스토랑,797641,,3,,2016.08.09.
26,22512755,섬오름카페앤레스토랑,993177,수제치즈버거랑 파니니 맛있었어요~버거는 크라제보다 크고 패티가 두툼하니 제입맛에 딱이였어요~,4,,2014.01.17.
27,19048342,카페요기,561153,"망고빙수 미쳤다..
망고를 통째로 얼려서 갈아낸... 희안하게 쫀득해요.
진짜 이런식감 처음!!",5,0,2019.05.16.
28,19048342,카페요기,93748,좋아요^^,4,0,2018.03.28.
29,19048342,카페요기,886812,,3,,2016.05.22.
30,132566301,모모제이,1234094,바나나 팬케이크랑 미수치노? 최고 ㅎㅎ 달달하고 맛있구 배부르고 일하시는 분들 서비스가 좋았어요 ㅎㅎ,5,0,2019.11.09.
31,132566301,모모제이,1156343,,5,0,2019.10.13.
32,132566301,모모제이,1147984,,4,0,2019.10.10.
33,132566301,모모제이,1017716,팬케잌과 파니니를 먹었는데 맛있었어요. 그런데 공간 자체에서 편안함을 느끼진 못했어요.,4,0,2019.08.24.
34,132566301,모모제이,541731,"팬케이크와 커피 맛은 그럭저럭. 개인 카페인데 저녁 10시까지 하고, 옆에 공영주차장이 넓게 있어 주차가 편리하고, 인테리어가 깔끔하고 한적해서 괜찮아요^^",4,0,2019.05.06.
35,132566301,모모제이,281063,메뉴와 인테리어가 깔끔하지만 천장이 높은 탓인지 말하는 소리가 시끄럽게 울려 조용한 곳을 찾는다면 적합하지 않다. 테이블이 넒어 여럿이 이야기하러 가기엔 좋지만 개인적으론 두번 갈 생각은 들지 않는다. ,3,0,2018.10.30.
36,132566301,모모제이,203564,아보카도 오픈샌드위치와 불고기샌드위치. 아보카도 아래 베이컨이 있었는데 생각보다 아주 잘 어울리는 맛이에요. 불고기도 굉장히 양념이 잘 되어있어 맛있었어요,5,0,2018.08.14.
37,132566301,모모제이,203561,가게가 깔끔하고 맛이 전체적으로 괜찮음. 아보카도 샌드위치를 추천함.,4,0,2018.08.14.
38,132566301,모모제이,76969,예쁘고 맛있어요 ㅎㅎ,5,0,2018.02.27.
39,132566301,모모제이,1169885,,4,,2018.11.10.
40,132566301,모모제이,1059051,,5,,2018.05.25.
41,132566301,모모제이,964912,시그니처메뉴인가?? 모모제이프렌치토스트 맛남...,4,,2018.05.21.
42,132566301,모모제이,251608,,2,,2016.08.10.
43,132566301,모모제이,892960,엄청맛있어요!!!!!!!,5,,2016.05.18.
44,2080549056,북촌에 가면,1147875,핑크뮬리가 아니고 그냥 뮬리예요 음료도 심하네요 ,1,0,2019.10.10.
45,2080549056,북촌에 가면,1145895,7천원의 바닐라라떼는 이렇게 나오고...뚜껑도 없고 빨대개별포장 안되어있고 음료가 나오면 진동벨만 울릴뿐 직원의 인계따위 없는...화장실은 지저분하고....핑크뮬리...???최대군락지다뭐다하는데...지나가다왔으니 망정이지 작정하고왔으면 괜히 오자고한사람 욕할뻔 ㅡㅡ....잘생각해보고들 움직이소,1,0,2019.10.09.
46,2080549056,북촌에 가면,1145464,"1. 핑크뮬리가 예쁘게 찍히진 않음..
2. 음료 가격이 터무니 없음.. 적어도 아이스음료면 아이스컵에 줘야지; only 종이컵 사용하는 건 무엇인지? 차가우면 쭈굴쭈굴해지는거 모르시나봄. 
3. 입구부터 너무 상업적.. 핑크뮬리 보기도 전에 음료고 뭐고 일단구매각
4. 부족한 진동벨, 무성의한 직원서비스, 입구부터 강매하니 카페안이 어떤지도 모를테고 무조건 결제하고 들어가서 주문하란 식인데 안에 사람들 난리남;
다시 방문할 의사 앖음.. 이번 제주여행에서 제일 실패한 케이스 ㅠ 하..",1,0,2019.10.09.
47,2080549056,북촌에 가면,1129612,"별하나도아까운..맛을떠나서..너무불친절..손님을대하는
장사의기본부터 배우셔야될듯합니다.. ",1,0,2019.10.03.
48,2080549056,북촌에 가면,820305,사진찍기 좋은 곳. 입장료 내면 음료를 드립니다 느낌~ 카페느낌은 아니고 정원느낌이네요.,2,0,2019.06.19.
49,2080549056,북촌에 가면,741518,,1,0,2019.06.01.
